company,latitude,longitude,province,amphur,tumbon
Shell,13.78063,100.6686,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
PTG,13.81161,100.6504,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม
PTT,13.82305212,100.6301943,กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์
PTT,13.800363,100.641867,กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์
BCP,13.79325,100.65202,กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์
PTT,13.8182534,100.6463665,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์
PTT,13.82066276,100.6433092,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์
Shell,13.8391,100.6346,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์
PTG,13.82917,100.6588,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์
PTG,13.84009,100.639,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์
Shell,13.74751,100.5221,กรุงเทพมหานคร,ปทุมวัน,รองเมือง
PTT,13.7346043,100.5248681,กรุงเทพมหานคร,ปทุมวัน,วังใหม่
PTG,13.73466,100.5249,กรุงเทพมหานคร,ปทุมวัน,วังใหม่
PTT,13.70159,100.688603,กรุงเทพมหานคร,ประเวศ,ดอกไม้
Shell,13.66389,100.6976,กรุงเทพมหานคร,ประเวศ,ดอกไม้
PTT,13.72236614,100.7081243,กรุงเทพมหานคร,ประเวศ,ประเวศ
PTT,13.70785923,100.7055964,กรุงเทพมหานคร,ประเวศ,ประเวศ
PTT,13.725026,100.657905,กรุงเทพมหานคร,ประเวศ,ประเวศ
BCP,13.71824,100.662849,กรุงเทพมหานคร,ประเวศ,ประเวศ
Shell,13.70503,100.6912,กรุงเทพมหานคร,ประเวศ,ประเวศ
Shell,13.71896,100.6721,กรุงเทพมหานคร,ประเวศ,ประเวศ
PTG,13.72072,100.6917,กรุงเทพมหานคร,ประเวศ,ประเวศ
PTG,13.72065,100.6798,กรุงเทพมหานคร,ประเวศ,ประเวศ
PTG,13.72389,100.6583,กรุงเทพมหานคร,ประเวศ,ประเวศ
PTT,13.67730753,100.6506469,กรุงเทพมหานคร,ประเวศ,หนองบอน
